Marca,Modelo,Precio_usd
Volkswagen,Tiguan,16000.0
Nissan,Kicks,20248.72179943641
Volkswagen,T-Cross,19388.151122960364
Peugeot,2008,21092.418541079594
Renault,Captur,15186.541349577308
Chevrolet,Tracker,14000.0
Toyota,Corolla Cross,32000.0
Renault,Duster,14174.105259605487
Peugeot,2008,11811.754383004572
Renault,Duster,11811.754383004572
Peugeot,2008,15000.0
Ford,Ecosport,20670.570170258
Ford,Ecosport,12655.451124647756
Audi,Q5,22000.0
Ford,Territory,36000.0
Volvo,XC60,18500.0
Toyota,Corolla Cross,44631.55763292442
Chevrolet,Equinox,21700.0
Chevrolet,Tracker,15800.0
Toyota,Hilux SW4,50199.95612776944
Jeep,Compass,19818.436461198387
Land Rover,Evoque,36000.0
Volkswagen,Tiguan,10124.360899718205
Jeep,Wrangler,129000.0
Citroën,C4 Cactus,20923.67919275096
Volkswagen,Tiguan,15000.0
Nissan,Kicks,22779.81202436596
Chevrolet,Tracker,19500.0
Volkswagen,T-Cross,21514.266911901188
Ford,Ecosport,18000.0
Volkswagen,T-Cross,21936.115282722778
Volkswagen,T-Cross,25310.902249295512
Volkswagen,Nivus,29951.233484636283
Kia,Soul,12233.602753826164
Peugeot,2008,36194.59021649259
Nissan,Kicks,17800.0
Volkswagen,Tiguan Allspace,22800.0
Ford,Ecosport,10546.209270539797
Volkswagen,Tiguan,18500.0
Citroën,C4 Cactus,19995.612776943457
Renault,Duster,15200.0
Toyota,Land Cruiser,55000.0
Fiat,Pulse,21851.74560855846
Volkswagen,T-Cross,25142.162900966876
Dodge,Journey,21800.0
Hyundai,Tucson,23500.0
Ford,Ecosport,16873.934832863677
Renault,Koleos,9000.0
Chevrolet,Tracker,12655.451124647756
Ford,Ecosport,6749.573933145471
Toyota,Hilux SW4,28000.0
Peugeot,2008,14334.407640517693
Volkswagen,Taos,35435.26314901372
Ford,Territory,42100.46740799487
BMW,X1,32900.0
Jeep,Renegade,24834.972917334595
Audi,Q5,22779.81202436596
SsangYong,Musso,8690.076438924792
Ford,Ecosport,12655.451124647756
Ford,Ecosport,13499.147866290941
BMW,X1,52000.0
Volkswagen,Nivus,26154.5989909387
Fiat,Pulse,21927.678315306348
Mercedes-Benz,Clase GLE,56500.0
Chery,Tiggo,10546.209270539797
Nissan,Kicks,21514.266911901188
Toyota,Corolla Cross,40582.656969778785
Ford,Ecosport,12233.602753826164
Jeep,Commander,54840.288206806945
Peugeot,2008,20164.352125272093
Hyundai,Tucson,14900.0
Audi,Q3 Sportback,79800.0
Nissan,Kicks,18561.328316150044
Ford,Bronco Sport,34900.0
Toyota,SW4,60061.083644094964
Peugeot,2008,19396.588090376794
Citroën,C4 Cactus,21008.048866915276
Jeep,Compass,35900.0
Dodge,Journey,12655.451124647756
Audi,Q5,18500.0
Volkswagen,Nivus,21767.375934394142
Volkswagen,T-Cross,26998.295732581882
Nissan,Kicks,31385.518789126436
Jeep,Renegade,19826.873428614817
Nissan,X-Trail,53659.112768506486
BMW,X3,80000.0
Nissan,Kicks,21900.0
Jeep,Compass,36000.0
Chery,Tiggo 3,14511.58395626276
Toyota,Hilux SW4,26500.0
Jeep,Compass,30000.0
Renault,Duster,15000.0
Volkswagen,T-Cross,11896.12405716889
Toyota,SW4,59902.468656666046
Honda,HR-V,22900.0
Ford,Bronco Sport,37038.286958135766
Nissan,Kicks,22000.0
Hyundai,Tucson,48000.0
Audi,Q7,69000.0
Nissan,Terrano II,10900.0
Citroën,C3 Aircross,26998.295732581882
Ford,Ecosport,14764.692135058975
Renault,Koleos,31216.7794407978
Ford,Ecosport,11727.384708840254
Land Rover,Discovery,36900.0
Fiat,Pulse,20923.67919275096
Lifan,Myway,14342.844607934125
Volkswagen,T-Cross,24126.352024028485
Volkswagen,Tiguan,13920.996237112533
Ford,Kuga,11811.754383004572
Jeep,Renegade,21927.593945632183
Citroën,C4 Cactus,19405.025057793227
Jeep,Renegade,19500.0
Ford,Bronco Sport,50537.43482442671
Toyota,Corolla Cross,41500.0
Audi,Q5,86000.0
Audi,Q7,29000.0
